keys,es
"Reacting badly: overworked at %d%% strain on a forced %s load — morale %d%% and dropping, injury risk raised. Ease off or set Automatic.","Mala reacción: sobrecargado al %d %% de desgaste con carga %s forzada; moral al %d %% y bajando, riesgo de lesión al alza. Afloja o pon Automático."
Unhappy: fresh (%d%%) rapid developer held on %s — wants to train more; growth is being wasted.,Descontento: joven fresco (%d %%) en desarrollo rápido retenido en %s; quiere entrenar más y se desperdicia crecimiento.
INDIVIDUAL FOCUS,ENFOQUE INDIVIDUAL
No focus,Sin enfoque
"+75% on focused stat, −25% elsewhere","+75 % en la estadística enfocada, −25 % en el resto"
trained to potential,entrenado hasta su potencial
%.1f pts/wk · %s,%.1f ptos./sem · %s
+1 in ~%dd,+1 en ~%d d
no gain,sin ganancia
Learning from %s (%s): ×%.2f development%s%s%s — included in the projection above.,Aprende de %s (%s): ×%.2f desarrollo%s%s%s — incluido en la proyección de arriba.
", ×1.25 on %s",", ×1,25 en %s"
", moves ×%.1f",", movimientos ×%.1f"
", strain ×%.2f",", desgaste ×%.2f"
Mentoring %s — passing on its %s example gives this veteran renewed purpose (morale %d%%).,Mentor de %s: transmitir su ejemplo %s renueva el propósito de este veterano (moral %d %%).
no one yet,nadie todavía
Eligible mentor (%s personality) with no group — set one up in the Mentoring tab to give this veteran purpose.,Mentor apto (personalidad %s) sin grupo; crea uno en la pestaña Mentoría para dar propósito a este veterano.
In rapid development and unmentored — pairing it with a veteran (Mentoring tab) would add +12–31% development speed.,En desarrollo rápido y sin mentor; emparejarlo con un veterano (pestaña Mentoría) sumaría un +12–31 % de velocidad de desarrollo.
Not eligible: mentoring links veterans with Pokémon still in rapid development.,No apto: la mentoría une a veteranos con Pokémon aún en desarrollo rápido.
MOVE LEARNING,APRENDIZAJE DE MOVIMIENTOS
Knows: %s,Conoce: %s
Learning %s,Aprendiendo %s
%d%%  ·  paused (individual load: No Training),%d %%  ·  en pausa (carga individual: Sin entrenamiento)
%d%%  ·  ~%d days left,%d %%  ·  quedan ~%d días
Will replace %s when mastered.,Sustituirá a %s cuando lo domine.
Start learning a move…  (%d eligible),Empezar a aprender un movimiento…  (%d disponibles)
"Learning speed: %.1f%%/day (Move Practice ×%d per week, coach %s, %s individual load)","Velocidad de aprendizaje: %.1f %%/día (Práctica de movimientos ×%d por semana, entrenador %s, carga individual %s)"
Learned this season: %s,Aprendidos esta temporada: %s
Start move learning,Iniciar aprendizaje de movimiento
Begin training,Empezar a entrenar
Pick a move from this Pokémon's learnset. Progress advances every training day; Move Practice sessions and the technique coach speed it up.,Elige un movimiento del repertorio de este Pokémon. El progreso avanza cada día de entrenamiento; las sesiones de Práctica de movimientos y el entrenador de técnica lo aceleran.
%d pow,%d pot.
Progress is PAUSED: this Pokémon's individual load is No Training. It will resume when it trains again.,El progreso está EN PAUSA: la carga individual de este Pokémon es Sin entrenamiento. Se reanudará cuando vuelva a entrenar.
Estimated time to master: ~%d days at the current schedule and individual load.,Tiempo estimado para dominarlo: ~%d días con el programa y la carga individual actuales.
Category assignments,Asignación por categorías
Other staff: %s,Resto del personal: %s
Assign one coach to each training category. A coach covering 3+ areas loses effectiveness.,Asigna un entrenador a cada categoría. Un entrenador que cubre 3 o más áreas pierde eficacia.
Squad-to-coach ratio: %.1f Pokémon per coach%s,Proporción plantilla-entrenadores: %.1f Pokémon por entrenador%s
  — consider asking the board for more coaches.,  — plantéate pedir más entrenadores a la directiva.
Workload: %d areas — quality −%d%%,Carga: %d áreas — calidad −%d %%
Workload: %d area%s — fine,Carga: %d área%s — correcta
Judge Ability,Valorar nivel
Judge Potential,Valorar potencial
Assigned: %s,Asignadas: %s
no coach — ×0.55 · %d sessions/wk,"sin entrenador — ×0,55 · %d sesiones/sem"
×%.2f  (uses %s %d/20%s) · %d sessions/wk,×%.2f  (usa %s %d/20%s) · %d sesiones/sem
", stretched",", sobrecargado"
Mentor groups,Grupos de mentoría
Eligibility & personalities,Requisitos y personalidades
Lv %d · %s · veteran mentor · morale %d%%,Nv. %d · %s · mentor veterano · moral %d %%
Remove this mentor group. Juniors lose the development bonus immediately.,Elimina este grupo de mentoría. Los jóvenes pierden la bonificación de desarrollo al instante.
No juniors yet — add one below to start the daily transfer.,Aún sin jóvenes; añade uno abajo para iniciar la transferencia diaria.
%s  Lv %d · %s,%s  Nv. %d · %s
pairing no longer valid,el emparejamiento ya no es válido
moves ×%.1f,movimientos ×%.1f
strain ×%.2f,desgaste ×%.2f
learning from %s · +%d%% dev%s,aprende de %s · +%d %% des.%s
"Base +%d%%%s · level gap +%d%%%s%s.
Attributed so far: +%.1f training points, %d IVs.","Base +%d %%%s · brecha de nivel +%d %%%s%s.
Atribuido hasta ahora: +%.1f puntos de entrenamiento, %d IV."
 · shared type +%d%%, · tipo compartido +%d %%
 · split attention −%d%%, · atención dividida −%d %%
morale %d%%,moral %d %%
Remove %s from the group.,Quitar a %s del grupo.
"No further eligible juniors (young, ≥%d levels and ≥%d months below %s, not already mentored).","No quedan jóvenes aptos (jóvenes, ≥%d niveles y ≥%d meses por debajo de %s, sin mentor previo)."
%s  (Lv %d · %s · +%d%% dev),%s  (Nv. %d · %s · +%d %% des.)
Add junior,Añadir joven
Group full — a mentor can watch %d juniors (attention already split: −%d%% each).,Grupo completo: un mentor puede vigilar a %d jóvenes (atención ya dividida: −%d %% cada uno).
Group a senior Pokémon with up to %d rapid developers. Every training day the juniors gain development speed and morale from the mentor's example — the mentor's personality steers WHICH stats bite hardest — and the veteran gets renewed purpose. Gains are attributed in the Development report.,"Agrupa a un Pokémon veterano con hasta %d jóvenes en desarrollo rápido. Cada día de entrenamiento, los jóvenes ganan velocidad de desarrollo y moral con el ejemplo del mentor —su personalidad decide QUÉ estadísticas muerden más fuerte— y el veterano renueva su propósito. Las ganancias se atribuyen en el informe de Desarrollo."
No mentor groups yet.,Aún no hay grupos de mentoría.
New group:,Grupo nuevo:
no free veterans — every eligible mentor already leads a group.,sin veteranos libres: todos los mentores aptos ya lideran un grupo.
%s  (Lv %d · %s · %s),%s  (Nv. %d · %s · %s)
Create group,Crear grupo
"Eligibility: mentors are veterans whose own development has flattened (age ≥ ~5y7m); juniors are in rapid development (age ≤ 4y) and must sit ≥%d levels and ≥%d months below their mentor. Effect: +%d%% development base, +%d%% shared type, up to +%d%% for a big level gap; −%d%% each when attention splits across two juniors.","Requisitos: los mentores son veteranos con el desarrollo ya plano (edad ≥ ~5a7m); los jóvenes están en desarrollo rápido (edad ≤ 4a) y deben estar ≥%d niveles y ≥%d meses por debajo de su mentor. Efecto: +%d %% de desarrollo base, +%d %% por tipo compartido, hasta +%d %% por una gran brecha de nivel; −%d %% cada uno si la atención se divide entre dos jóvenes."
ELIGIBLE MENTORS (VETERANS),MENTORES APTOS (VETERANOS)
mentoring %d,mentor de %d
No veterans in the squad.,No hay veteranos en la plantilla.
ELIGIBLE JUNIORS (RAPID DEVELOPERS),JÓVENES APTOS (DESARROLLO RÁPIDO)
learning from %s,aprende de %s
no valid mentor (level/age gap),sin mentor válido (brecha de nivel/edad)
unmentored — %d possible mentor%s,sin mentor — %d mentor%ses posibles
No rapid developers in the squad — sign or promote young Pokémon.,No hay jóvenes en desarrollo rápido en la plantilla: ficha o asciende Pokémon jóvenes.
MENTOR PERSONALITIES,PERSONALIDADES DE MENTOR
Best developers · last 28 days,Mejores progresiones · últimos 28 días
Needs attention,Requiere atención
IV gains,Ganancias de IV
"Mentored by %s (%s): +%.1f bonus training points, %d of its IV gains attributed to mentoring.","Con %s de mentor (%s): +%.1f puntos extra de entrenamiento, %d de sus IV ganados atribuidos a la mentoría."
mentoring %s,mentor de %s
%s personality — renewed purpose from mentoring lifts its morale (currently %d%%).,Personalidad %s: el propósito renovado de la mentoría le sube la moral (actualmente %d %%).
"Attribute changes over the last 28 training days (tracking %d day%s so far). +N marks real stat increases from training — IVs are capped at 15 per stat.
Evolution: every %d development points = +1 effective level toward evolution thresholds (decisions land in the Inbox). Need more rapid developers? Promote from the Academy — its intake pipeline feeds this squad.","Cambios de atributos en los últimos 28 días de entrenamiento (%d día%s registrados). +N marca subidas reales de estadísticas por entrenar; los IV tienen tope de 15 por estadística.
Evolución: cada %d puntos de desarrollo = +1 nivel efectivo hacia los umbrales de evolución (las decisiones llegan a la Bandeja). ¿Faltan jóvenes en desarrollo rápido? Asciende desde la Academia: su cantera alimenta esta plantilla."
+%d stat points · %d IVs gained,+%d puntos de estadísticas · %d IV ganados
 · learning from %s, · aprende de %s
No measurable gains yet — development shows here as training days pass.,Aún sin ganancias medibles; el desarrollo aparecerá aquí con los días de entrenamiento.
"unhappy: forced %s load at %d%% strain — morale %d%%, injury risk up. Ease the individual load.","descontento: carga %s forzada al %d %% de desgaste — moral %d %%, riesgo de lesión al alza. Afloja la carga individual."
"strain %d%% — overtrained, gains reduced%s","desgaste %d %% — sobreentrenado, ganancias reducidas%s"
 — set the individual load to Light or Automatic, — pon la carga individual en Ligera o Automático
held on %s while fresh — a rapid developer wasting growth; raise the individual load,retenido en %s estando fresco: un joven en desarrollo rápido desperdiciando crecimiento; sube la carga individual
No concerns — workload and age profile look healthy.,Sin preocupaciones: la carga y el perfil de edad tienen buena pinta.
» %s AWAITING APPROVAL,» %s ESPERANDO APROBACIÓN
Requirements met — approve or postpone the evolution from the Inbox or this Pokémon's profile.,Requisitos cumplidos: aprueba o pospón la evolución desde la Bandeja o el perfil de este Pokémon.
final form,forma final
%s does not evolve — development here is pure stat growth.,%s no evoluciona: aquí el desarrollo es puro crecimiento de estadísticas.
» %s (use stone),» %s (usar piedra)
"A stone in the storeroom can evolve it today — Items screen, or the profile's evolution panel.",Una piedra del almacén puede evolucionarlo hoy: pantalla de Objetos o el panel de evolución del perfil.
» %s ready,» %s listo
Requirements met — the offer will land in your Inbox on the next training day.,Requisitos cumplidos: la oferta llegará a tu Bandeja el próximo día de entrenamiento.
"Development points from training push evolution milestones: %d pts = +1 effective level.
Dev so far: %d pts (+%d eff. levels).","Los puntos de desarrollo del entrenamiento empujan los hitos de evolución: %d ptos. = +1 nivel efectivo.
Desarrollo acumulado: %d ptos. (+%d niveles ef.)."
"
Stone routes are bought in the Items screen and applied from there or the profile.","
Las rutas por piedra se compran en la pantalla de Objetos y se aplican desde allí o desde el perfil."
Physical,Físico
Special,Especial
Move Practice,Práctica de movimientos
Match Prep,Preparación de partido
Recovery,Recuperación
Light,Ligera
Attack Heavy,Carga ofensiva
Defensive,Defensivo
Heavy Development,Desarrollo intenso
Recovery Week,Semana de recuperación
Match Prep Week,Semana de preparación
Automatic,Automático
Double,Doble
Half,Media
No Training,Sin entrenamiento
Recovery & Fitness,Recuperación y forma
drills relentless physical work — juniors' Attack and HP training bites harder,impone un trabajo físico implacable: el entrenamiento de Ataque y PS de los jóvenes muerde más fuerte
Calm Mind,Mente serena
steers juniors toward special technique — Sp. Atk and Sp. Def work bites harder,orienta a los jóvenes hacia la técnica especial: el trabajo de At. Esp. y Def. Esp. muerde más fuerte
Stoic,Estoico
teaches juniors to soak punishment — Defense and Sp. Def work bites harder,enseña a los jóvenes a encajar castigo: el trabajo de Defensa y Def. Esp. muerde más fuerte
Lively,Vivaz
keeps juniors quick and sharp — Speed and HP work bites harder,mantiene a los jóvenes rápidos y afilados: el trabajo de Velocidad y PS muerde más fuerte
Studious,Estudioso
passes on technique — juniors master new moves ×1.3 faster,"transmite técnica: los jóvenes dominan movimientos nuevos ×1,3 más rápido"
models perfect habits — extra development across the board and ×0.9 strain intake,"modela hábitos perfectos: desarrollo extra en todo y ×0,9 de desgaste recibido"
strain %d%% ≥ %d — full rest until recovered,desgaste %d %% ≥ %d — descanso total hasta recuperarse
strain %d%% ≥ %d — dropped to Light,desgaste %d %% ≥ %d — rebajado a Ligera
veteran body at strain %d%% — eased to Light,cuerpo veterano con %d %% de desgaste — aflojado a Ligera
veteran body — capped at Normal (Light from strain %d),cuerpo veterano — tope en Normal (Ligera a partir de %d de desgaste)
fresh (%d%%) rapid developer — pushed to High,joven fresco (%d %%) en desarrollo rápido — subido a Alta
standard load at strain %d%%,carga estándar con %d %% de desgaste
needs a mentor at least %d levels above (%s is Lv %d vs Lv %d),necesita un mentor al menos %d niveles por encima (%s es Nv. %d frente a Nv. %d)
age gap under %d months — too close in age to look up to,brecha de edad menor de %d meses: demasiado cercanos para ser un referente
not in the squad,no está en la plantilla
no such mentor group,no existe ese grupo de mentoría
a mentor can watch at most %d juniors,un mentor puede vigilar como mucho a %d jóvenes
already in a mentor group,ya está en un grupo de mentoría
", replacing %s",", en sustitución de %s"
. The move is available for selection immediately.,. El movimiento ya está disponible para la alineación.
 (learning from %s), (aprende de %s)
Weekly training report,Informe semanal de entrenamiento
"Development gains this week:
","Ganancias de desarrollo esta semana:
"
%s has mastered %s on the training ground,%s ha dominado %s en el campo de entrenamiento
%s has learned %s!,¡%s ha aprendido %s!
All pools,Todos los mercados
Club Pokémon,Pokémon de club
Free agents,Agentes libres
Overseas leagues,Ligas del extranjero
Domestic only,Solo nacional
Any value,Cualquier valor
Under 100K,Menos de 100K
Under 250K,Menos de 250K
Under 500K,Menos de 500K
Under 1M,Menos de 1M
SHORTLIST — OUR TARGET BOARD,LISTA DE OBJETIVOS — NUESTRA PIZARRA
SCOUT RECOMMENDATIONS,RECOMENDACIONES DE LOS OJEADORES
AGENT-OFFERED PLAYERS,JUGADORES OFRECIDOS POR AGENTES
DIRECTOR OF BATTLING — DELEGATION,DIRECTOR DEPORTIVO — DELEGACIÓN
RUMOUR MILL,RUMOROLOGÍA
%d target%s shortlisted,%d objetivo%s en la lista
%d of them TRANSFER-LISTED — bargain window,%d de ellos TRANSFERIBLES: ventana de gangas
%d new scout recommendation%s,%d recomendacion%ses nuevas de ojeadores
%d agent offer%s open,%d oferta%s de agentes abiertas
RECRUITMENT PIPELINE,CADENA DE FICHAJES
"The shortlist is empty.

This is your target board: everything on it gets watched for you — listings, rival interest, agent availability and price drops all raise alerts, scouts can auto-cover it, and the DoF can pursue it.

Add targets from Search, or accept a scout recommendation.","La lista de objetivos está vacía.

Esta es tu pizarra: todo lo que apuntes se vigila por ti —listas de traspasos, interés rival, disponibilidad de agentes y bajadas de precio lanzan avisos—, los ojeadores pueden cubrirla solos y el director deportivo puede perseguirla.

Añade objetivos desde Buscar o acepta una recomendación de ojeador."
Lv %d · %s · %s,Nv. %d · %s · %s
Ask ~%s,Piden ~%s
Comp ~%s,Comp. ~%s
Free — wages only,Libre: solo salario
%s  ·  knowledge %d%%,%s  ·  conocimiento %d %%
TRANSFER-LISTED — ask slashed,TRANSFERIBLE — precio rebajado
AGENT PUSHING — deal greased,AGENTE EMPUJANDO — operación engrasada
RIVAL RUMOUR: %s,RUMOR RIVAL: %s
DoF negotiating — ,El DD negocia — 
In talks — ,En conversaciones — 
%s scouting — %s%s,%s ojeando — %s%s
 · full report ~%dd, · informe completo ~%d d
Make Offer,Hacer oferta
Offer Contract,Ofrecer contrato
"No new recommendations.
Scouts push strong finds here as their reports come in — keep someone on a focus assignment and the queue fills itself.","Sin recomendaciones nuevas.
Los ojeadores destacan aquí sus hallazgos según llegan los informes; mantén a alguien con un enfoque asignado y la cola se llena sola."
wants out of %s,quiere salir del %s
free agent,agente libre
Agent: %s,Agente: %s
Deal near %s — seller softened while this stands,Acuerdo cercano a %s — el vendedor se ablanda mientras esto siga en pie
%s  ·  offer stands until %s,%s  ·  la oferta se mantiene hasta el %s
Open Talks,Abrir conversaciones
Not Interested,Sin interés
"No agents on the phone right now.
Agents tout unsettled players and free agents here — their deals come pre-greased.","Ningún agente al teléfono ahora mismo.
Los agentes ofrecen aquí jugadores inquietos y agentes libres; sus operaciones vienen engrasadas de fábrica."
"Delegate market chores. The DoF acts every day, inside board limits.","Delega las tareas del mercado. El director deportivo actúa cada día, dentro de los límites de la directiva."
Swat lowball bids for our squad,Rechazar ofertas a la baja por nuestra plantilla
Pursue shortlist targets (open + close deals),Perseguir los objetivos de la lista (abrir y cerrar tratos)
Keep idle scouts on the shortlist,Mantener a los ojeadores ociosos sobre la lista
Max over valuation:,Máximo sobre la valoración:
   • came true,   • se cumplió
   — came to nothing,   — quedó en nada
"The mill is quiet.
Rumours build as the window runs: listings genuinely cut ask prices, interest whispers ripen into real transfers, and links to OUR squad often precede real bids.","La rumorología está tranquila.
Los rumores crecen con la ventana abierta: las listas de traspasos recortan precios de verdad, los susurros de interés maduran en traspasos reales y los vínculos con NUESTRA plantilla suelen preceder a ofertas reales."
Search species / nickname...,Buscar especie o mote...
Any type,Cualquier tipo
Min Lv,Nv. mín.
Any nature,Cualquier naturaleza
Filter by temperament (nature). Scouting reveals a target's nature at Part scouted (50%) — targets whose nature is still unknown never match.,Filtra por temperamento (naturaleza). El ojeo revela la naturaleza al llegar a Parcial (50 %); los objetivos con naturaleza desconocida nunca aparecen.
Any ability,Cualquier habilidad
Filter by battle ability. A Detailed watch (75%) confirms it — targets whose ability is unconfirmed never match.,Filtra por habilidad de combate. Un seguimiento Detallado (75 %) la confirma; los objetivos con habilidad sin confirmar nunca aparecen.
Fully scouted,Totalmente ojeado
Transfer-listed — ask price slashed while the listing stands,Transferible: precio rebajado mientras dure la lista
Knowledge stage: %s — unlocks %s,Nivel de conocimiento: %s — desbloquea %s
%d targets · %d overseas · %d full,%d objetivos · %d en el extranjero · %d completos
"Select a target from the list.

Unscouted Pokémon show attribute ranges — send a scout to unlock exact figures, a written report and star ratings.","Selecciona un objetivo de la lista.

Los Pokémon sin ojear muestran rangos de atributos; envía un ojeador para desbloquear cifras exactas, un informe escrito y valoraciones de estrellas."
%s  ·  contracted to %s,%s  ·  con contrato en el %s
Free agent — signs on wages alone,Agente libre: firma solo por salario
Youth prospect — development compensation applies,Promesa juvenil: se aplica compensación por formación
Lv %d  ·  Age %dy %dm,Nv. %d  ·  Edad %da %dm
Estimated range around the battle-real figure (nature folded in). A Full report (100%) pins it exactly.,Rango estimado en torno a la cifra real de combate (naturaleza incluida). Un informe Completo (100 %) la fija con exactitud.
"
Boosted +10%% by its %s nature.","
Potenciado un +10 %% por su naturaleza %s."
"
Hindered −10%% by its %s nature.","
Mermado un −10 %% por su naturaleza %s."
Genetics: %d/90 IV  ·  Condition %d%%  ·  Fitness %d%%,Genética: %d/90 IV  ·  Estado %d %%  ·  Forma %d %%
Condition %d%%  ·  Fitness %d%%  ·  genetics unknown,Estado %d %%  ·  Forma %d %%  ·  genética desconocida
Moves: ,Movimientos: 
Move set unknown — reach Part scouted (50%) to reveal.,Movimientos desconocidos: llega a Parcial (50 %) para revelarlos.
A scout reads a target's temperament once knowledge reaches Part scouted (50%). Stats above already include the (still hidden) nature — they are the battle-real figures.,Un ojeador lee el temperamento del objetivo al llegar el conocimiento a Parcial (50 %). Las estadísticas de arriba ya incluyen la naturaleza (aún oculta): son las cifras reales de combate.
The battle ability is only confirmed by a Detailed watch (75% knowledge).,La habilidad de combate solo se confirma con un seguimiento Detallado (75 % de conocimiento).
Est. value: ,Valor est.: 
key battler,pieza clave
first-team regular,titular habitual
squad member,miembro de la plantilla
fringe battler,jugador marginal
Status at club: %s,Estatus en su club: %s
Development compensation: ,Compensación por formación: 
Potential rating: %s,Valoración de potencial: %s
Potential: %s (scout to confirm),Potencial: %s (ojear para confirmar)
Wage: %s/wk%s,Salario: %s/sem%s
Next stage at %d%%: %s — unlocks %s.,Siguiente nivel al %d %%: %s — desbloquea %s.
"%s target — %s. Overseas business is permanent-transfer only (no loans), and scouts need the boat: travel costs real days.","Objetivo de %s — %s. El negocio en el extranjero es solo de traspasos permanentes (sin cesiones), y los ojeadores necesitan el barco: viajar cuesta días de verdad."
Interim report (%s): Ability %s to %s — bands narrow as scouting continues. See Scouting tab.,Informe provisional (%s): nivel de %s a %s — las bandas se estrechan según avanza el ojeo. Ver pestaña Ojeo.
Scout report (%s): Ability %s  Potential %s — see Scouting tab.,Informe de ojeo (%s): nivel %s  Potencial %s — ver pestaña Ojeo.
TRANSFER-LISTED — their club wants them gone; the ask price above is already slashed.,TRANSFERIBLE: su club quiere que se vaya; el precio de arriba ya está rebajado.
AGENT PUSHING — %s (deal greased until %s),AGENTE EMPUJANDO — %s (operación engrasada hasta el %s)
RUMOUR: %s,RUMOR: %s
Active offer: %s — manage it in the Transfer Centre tab.,Oferta activa: %s — gestiónala en la pestaña Centro de traspasos.
%s is on this target%s — full report in ~%d day%s.,%s está sobre este objetivo%s — informe completo en ~%d día%s.
" (in transit, %dd to arrive)"," (de camino, %d d para llegar)"
Send Scout,Enviar ojeador
Make Offer / Loan,Hacer oferta / cesión
"Window closes in %d day%s — clubs respond faster, rivals circle harder.",La ventana cierra en %d día%s: los clubes responden más rápido y los rivales aprietan más.
DEADLINE DAY — clubs respond within hours. Last chance.,DÍA DE CIERRE: los clubes responden en horas. Última oportunidad.
SCOUTING TEAM,EQUIPO DE OJEADORES
SCOUT MARKET — HIRE THIS MONTH,MERCADO DE OJEADORES — CONTRATA ESTE MES
ASSIGNMENTS IN PROGRESS,MISIONES EN CURSO
REGIONAL NETWORK — MARKET KNOWLEDGE,RED REGIONAL — CONOCIMIENTO DEL MERCADO
SCOUT REPORTS,INFORMES DE OJEO
Judging Ability %d/20  ·  Judging Potential %d/20,Valorar nivel %d/20  ·  Valorar potencial %d/20
  ·  %s/wk,  ·  %s/sem
  ·  currently in %s,  ·  ahora mismo en %s
Home network: %s%s%s,Red local: %s%s%s
Available — assign from Search (Send Scout) or set a focus.,Disponible: asígnalo desde Buscar (Enviar ojeador) o fija un enfoque.
Set Focus,Fijar enfoque
En route to %s (%dd) — then watching %s,De camino a %s (%d d); después vigilará a %s
"Watching %s — %d%% known, full report ~%dd","Vigilando a %s — %d %% conocido, informe completo ~%d d"
Travelling to %s (%dd) for the %s sweep,Viajando a %s (%d d) para el barrido de %s
Focus: %s — sweeping %d targets/day (caps at %d%%),Enfoque: %s — barre %d objetivos/día (tope %d %%)
No staff with scouting ability at the club.,No hay personal con capacidad de ojeo en el club.
%s · %s · started %s,%s · %s · desde el %s
IN TRANSIT — %d day%s until they reach %s,EN TRÁNSITO — %d día%s hasta llegar a %s
IN TRANSIT — %s until they reach %s,EN TRÁNSITO — %s hasta llegar a %s
the patch,la zona
%d%% — %s · full report ~%s,%d %% — %s · informe completo ~%s
Focus: %s,Enfoque: %s
%s · rolling assignment since %s,%s · misión continua desde el %s
Sweeps %d matching targets a day up to %d%% knowledge (interim reports only) — a dedicated watch is needed for the full book.,Barre %d objetivos coincidentes al día hasta el %d %% de conocimiento (solo informes provisionales); para el expediente completo hace falta un seguimiento dedicado.
"No scouts in the field.
Select a target in Search and press Send Scout, or set a type focus.","Sin ojeadores sobre el terreno.
Selecciona un objetivo en Buscar y pulsa Enviar ojeador, o fija un enfoque por tipo."
[interim] %s  ·  Ability %s to %s  ·  %s,[provisional] %s  ·  Nivel de %s a %s  ·  %s
%s  ·  Ability %s  Pot %s  ·  %s,%s  ·  Nivel %s  Pot. %s  ·  %s
"[color=#8b91a8]No reports yet. Completed scouting missions produce a written report card here with exact attributes, star ratings and a recommendation.[/color]","[color=#8b91a8]Aún sin informes. Las misiones de ojeo completadas dejan aquí una ficha escrita con atributos exactos, estrellas y una recomendación.[/color]"
Dedicated scouts for hire (%d/%d slots free). New candidates monthly. Wages come off the wage budget.,Ojeadores dedicados en el mercado (%d/%d plazas libres). Candidatos nuevos cada mes. Sus salarios salen del presupuesto salarial.
JA %d · JP %d  ·  network: %s,VN %d · VP %d  ·  red: %s
No candidates left this month — the pool refreshes on the 1st.,No quedan candidatos este mes; la bolsa se renueva el día 1.
%d scout%s,%d ojeador%ses
Scouts work faster on their home patch; region focuses build knowledge across it.,Los ojeadores trabajan más rápido en su zona; los enfoques regionales construyen conocimiento en toda ella.
"[b][font_size=20]%s[/font_size][/b]   [color=#8b91a8]Lv %d · %s[/color]
","[b][font_size=20]%s[/font_size][/b]   [color=#8b91a8]Nv. %d · %s[/color]
"
"[color=#8b91a8]Filed by %s on %s[/color]
","[color=#8b91a8]Presentado por %s el %s[/color]
"
"[color=#e0b050][b]INTERIM REPORT[/b] — %d%% scouted. Star ratings are a RANGE; keep the scout on the watch to narrow it.[/color]

","[color=#e0b050][b]INFORME PROVISIONAL[/b] — %d %% ojeado. Las estrellas son un RANGO; mantén al ojeador en el seguimiento para estrecharlo.[/color]

"
"[b]Current ability[/b]   [color=#e0b050]%s — %s[/color]
","[b]Nivel actual[/b]   [color=#e0b050]%s — %s[/color]
"
"[b]Potential[/b]           [color=#e0b050]%s — %s[/color]

","[b]Potencial[/b]           [color=#e0b050]%s — %s[/color]

"
"
[b]Current ability[/b]   [color=#e0b050]%s[/color]
","
[b]Nivel actual[/b]   [color=#e0b050]%s[/color]
"
"[b]Potential[/b]           [color=#e0b050]%s[/color]

","[b]Potencial[/b]           [color=#e0b050]%s[/color]

"
[color=#8b91a8]unknown — revealed at Part scouted (50%)[/color],[color=#8b91a8]desconocida — se revela en Parcial (50 %)[/color]
"[b]Battle ability[/b]  [color=#d8dbe6]%s[/color] [color=#8b91a8]— %s[/color]

","[b]Habilidad[/b]  [color=#d8dbe6]%s[/color] [color=#8b91a8]— %s[/color]

"
"[b]Battle ability[/b]  [color=#8b91a8]unconfirmed — a Detailed watch (75%) pins it down[/color]

","[b]Habilidad[/b]  [color=#8b91a8]sin confirmar — un seguimiento Detallado (75 %) la fija[/color]

"
"[b]Strengths[/b]
","[b]Puntos fuertes[/b]
"
"
[b]Weaknesses[/b]
","
[b]Puntos débiles[/b]
"
"
[b]Verdict:[/b] [i]%s[/i]","
[b]Veredicto:[/b] [i]%s[/i]"
OUTGOING OFFERS (BIDS WE MADE),OFERTAS SALIENTES (NUESTRAS PUJAS)
INCOMING OFFERS (FOR OUR SQUAD),OFERTAS ENTRANTES (POR NUESTRA PLANTILLA)
LATEST DEALS AROUND THE LEAGUE,ÚLTIMAS OPERACIONES EN LA LIGA
Awaiting response — due %s,Esperando respuesta — plazo: %s
Loan countered — they want: %s,Cesión contraofertada — quieren: %s
Countered — they propose: %s,Contraoferta — proponen: %s
Package agreed — wage demand %s/wk,Paquete acordado — pretensión salarial %s/sem
Contract offered — reply due %s,Contrato ofrecido — respuesta antes del %s
Wants %s/wk to sign,Pide %s/sem para firmar
Deal completed,Operación completada
Offer rejected,Oferta rechazada
Talks collapsed,Negociación rota
HIJACKED — a rival club completed the deal,PUENTEADO: un club rival cerró la operación
DEADLINE DAY,DÍA DE CIERRE
The %s slams shut tonight. Clubs reply within hours — every unfinished deal dies at midnight.,La %s se cierra de golpe esta noche. Los clubes contestan en horas: toda operación sin rematar muere a medianoche.
%s OPEN,%s ABIERTA
Deadline day %s  ·  %d day%s remaining  ·  market: %s,Día de cierre: %s  ·  queda(n) %d día%s  ·  mercado: %s
TRANSFER WINDOW CLOSED,VENTANA DE TRASPASOS CERRADA
"Market locked — reopens %s (%s, %d days). Free agents can still be signed; scouting never stops.","Mercado cerrado: reabre el %s (%s, %d días). Los agentes libres siguen pudiendo firmarse; el ojeo nunca se detiene."
Transfer budget:  %s,Presupuesto de fichajes:  %s
Bank balance:  %s,Saldo bancario:  %s
Wage bill:  %s / %s per wk,Masa salarial:  %s / %s por sem
Wage room:  %s/wk,Margen salarial:  %s/sem
Installments:  %s owed · %s due in,Plazos:  %s pendientes · %s por cobrar
Squad size:  %d,Tamaño de plantilla:  %d
"No outgoing offers.
Find a target in Search and press Make Offer to build a package — up-front fee, installments, a sell-on clause, or a loan with wage split and option to buy. Clubs respond within a couple of days and counter with structures of their own.","Sin ofertas salientes.
Busca un objetivo en Buscar y pulsa Hacer oferta para montar un paquete: pago inicial, plazos, cláusula de reventa o una cesión con reparto salarial y opción de compra. Los clubes responden en un par de días y contraofertan con sus propias estructuras."
